fromba,toba,total_mwh,mean_mw,hours_active
PJM,MISO,56567112.0,6493.756399954081,8711
SRP,AZPS,30108668.0,3437.0625570776256,8760
BPAT,PSEI,16049993.0,1832.1909817351598,8760
BPAT,PGE,15191691.0,1734.2113013698631,8760
PJM,NYIS,13841487.0,1588.9664791642751,8711
MISO,TVA,13485144.0,1539.4,8760
GRID,BPAT,9675046.0,1104.457305936073,8760
BPAT,BCHA,9478010.0,1081.9646118721462,8760
LDWP,NEVP,8634042.0,991.051652892562,8712
BPAT,PACW,8551566.0,976.2061643835616,8760
PACE,IPCO,8173212.0,933.0150684931507,8760
SRP,CISO,7872416.0,898.6776255707763,8760
BPAT,SCL,7798197.0,890.2051369863013,8760
WALC,LDWP,7739967.0,885.9852335164835,8736
NEVP,CISO,7559381.0,862.9430365296804,8760
SEC,FPL,7314361.0,841.9892943478761,8687
FPL,FPC,7293163.0,841.7778162511541,8664
SCEG,SC,7229923.0,829.880968778696,8712
AZPS,WALC,7120617.0,812.8558219178083,8760
SOCO,SCEG,7120077.0,812.7941780821918,8760
AZPS,CISO,7066150.0,806.6381278538813,8760
NWMT,BPAT,6997813.0,798.837100456621,8760
TVA,PJM,6205979.0,708.5259732846215,8759
BPAT,LDWP,6138562.0,700.7490867579909,8760
BPAT,AVA,6030739.0,688.4405251141552,8760
WACM,PACE,5564055.0,642.203947368421,8664
SC,DUK,4879151.0,556.9807077625571,8760
FMPP,FPC,4744709.0,543.1836290784202,8735
AVRN,BPAT,4677634.0,533.9764840182648,8760
GRID,SRP,4400217.0,502.3078767123288,8760
SOCO,MISO,4388364.0,500.9547945205479,8760
FPL,JEA,4083747.0,471.34660664819944,8664
SOCO,SC,4055389.0,462.9439497716895,8760
SEC,FPC,3984749.0,458.70254403131116,8687
FPC,TEC,3707823.0,423.26746575342463,8760
DUK,SOCO,3692142.0,421.47739726027396,8760
BPAT,TPWR,3599272.0,410.875799086758,8760
CHPD,BPAT,3503817.0,399.9791095890411,8760
DEAA,SRP,3494661.0,398.93390410958904,8760
PNM,EPE,3491776.0,398.6045662100457,8760
FPL,FMPP,3483289.0,402.0416666666667,8664
TVA,SOCO,3455975.0,394.5627354720859,8759
DUK,PJM,3423659.0,390.8286529680365,8760
AZPS,LDWP,3381807.0,386.05102739726027,8760
WALC,NEVP,3119696.0,357.1080586080586,8736
AVRN,PACW,3100349.0,353.9211187214612,8760
CPLE,PJM,3029290.0,345.8093607305936,8760
GRIF,WALC,3019019.0,413.7909813596491,7296
IPCO,PACW,2951301.0,336.90650684931506,8760
SOCO,FPL,2902957.0,331.38778538812784,8760
TEC,FPL,2785791.0,318.5581475128645,8745
IID,CISO,2715953.0,311.74850780532597,8712
NYIS,ISNE,2649984.0,302.50958904109586,8760
TVA,LGEE,2587510.0,295.4115766640027,8759
LDWP,CISO,2575799.0,295.6610422405877,8712
PSCO,WACM,2387612.0,272.5584474885845,8760
SWPP,AECI,2356114.0,271.9743737735196,8663
HGMA,SRP,2291600.0,261.5981735159817,8760
WACM,WALC,2207738.0,254.817405355494,8664
GCPD,BPAT,2157193.0,246.2549086757991,8760
MISO,LGEE,2154251.0,245.91906392694065,8760
GRID,PNM,2073871.0,236.74326484018266,8760
TEC,FMPP,2052363.0,234.68987993138936,8745
DOPD,BPAT,2052144.0,234.26301369863015,8760
SEPA,SOCO,1931990.0,221.73648571100654,8713
SPA,MISO,1809696.0,206.586301369863,8760
SPA,AECI,1459511.0,166.61084474885845,8760
CPLE,SC,1313280.0,149.91780821917808,8760
WALC,SRP,1282661.0,146.82474816849816,8736
SWPP,ERCO,1234246.0,142.47327715571973,8663
AECI,TVA,1198716.0,136.83972602739726,8760
AZPS,PACE,1193078.0,136.19611872146118,8760
BPAT,BANC,1156036.0,131.9675799086758,8760
WALC,TEPC,1147627.0,131.36755952380952,8736
BPAT,CISO,1141151.0,130.26837899543378,8760
TAL,FPC,1115752.0,127.3689497716895,8760
DUK,CPLE,1108653.0,126.55856164383562,8760
SWPP,WACM,1105032.0,127.55765900958097,8663
CISO,TIDC,1072065.0,122.3818493150685,8760
PNM,AZPS,1053903.0,120.30856164383562,8760
CHPD,PSEI,1050456.0,119.91506849315068,8760
PSCO,PNM,1041102.0,118.84726027397261,8760
SCEG,DUK,1031865.0,118.4418044077135,8712
AECI,MISO,1025915.0,117.11358447488584,8760
AZPS,TEPC,884366.0,100.95502283105023,8760
MISO,SWPP,849274.0,96.94908675799087,8760
WACM,AZPS,844517.0,97.47426131117267,8664
PGE,PACW,828115.0,94.53367579908675,8760
GCPD,PACW,823903.0,94.05285388127854,8760
PACE,NEVP,791103.0,90.30856164383562,8760
CHPD,DOPD,770100.0,87.91095890410959,8760
SCEG,CPLE,768148.0,88.1712580348944,8712
YAD,DUK,711019.0,81.61375114784205,8712
SOCO,TAL,706447.0,80.64463470319635,8760
NWMT,AESO,692280.0,79.02739726027397,8760
PSEI,GCPD,671297.0,76.63207762557077,8760
CISO,CEN,646239.0,73.77157534246575,8760
GRID,WALC,640934.0,437.4976109215017,1465
FPL,HST,622831.0,71.88723453370268,8664
EPE,TEPC,620028.0,70.77945205479452,8760
CISO,BANC,613895.0,70.07933789954338,8760
