geoid,county_name,E,Ec,S,population,n_tracts
08001,Adams,2.3531,8.0292,5.2817,520149,106
08005,Arapahoe,2.3825,7.5176,5.5025,654453,161
08007,Archuleta,8.1814,5.0338,5.2356,13509,5
08009,Baca,2.9803,5.388,4.4717,3496,2
08013,Boulder,2.7902,7.9611,5.7646,328658,78
08014,Broomfield,2.3426,8.531,5.9443,73946,21
08015,Chaffee,7.3549,5.6342,5.0338,19564,6
08017,Cheyenne,3.1282,5.6268,4.7045,1726,1
08019,Clear Creek,7.3258,6.5269,5.1713,9403,4
08027,Custer,8.4924,5.2209,5.0659,4885,2
08029,Delta,2.1264,5.9177,4.6433,31173,9
08031,Denver,2.4344,7.6111,5.2663,710800,176
08033,Dolores,7.8343,5.0834,4.1066,2329,1
08037,Eagle,7.6557,6.1021,5.6763,55650,16
08043,Fremont,7.3563,5.9992,5.0865,16592,5
08045,Garfield,4.1215,6.1726,5.0356,61683,12
08047,Gilpin,7.3991,6.7701,5.2403,5856,2
08049,Grand,8.6997,5.3433,5.3164,15724,6
08051,Gunnison,7.815,5.6884,5.5963,17018,6
08053,Hinsdale,9.197,4.7753,4.8909,911,1
08057,Jackson,8.4154,4.7192,4.5011,1440,1
08059,Jefferson,2.9422,7.8069,5.5248,579491,142
08063,Kit Carson,2.7263,5.3511,4.5716,7039,2
08065,Lake,7.758,6.2786,4.6563,7403,3
08067,La Plata,4.0117,5.892,5.2037,55983,12
08069,Larimer,2.8216,7.1444,5.6859,359363,86
08075,Logan,2.5334,6.1108,4.5463,21302,7
08077,Mesa,0.6706,6.2947,5.164,156131,33
08079,Mineral,9.2295,4.5125,4.9911,794,1
08081,Moffat,0.5031,6.4386,4.7066,13232,4
08083,Montezuma,1.6373,5.6858,4.7538,26070,8
08085,Montrose,0.622,6.3088,4.9697,42823,12
08087,Morgan,2.4407,6.599,4.9585,29045,8
08091,Ouray,1.3497,5.9344,5.1824,4936,2
08093,Park,7.9686,5.9971,5.2267,17597,6
08095,Phillips,2.7597,5.4068,4.4802,4493,2
08097,Pitkin,7.9917,6.021,5.7823,17325,6
08103,Rio Blanco,1.1114,5.5932,4.9559,6511,2
08105,Rio Grande,9.1196,5.1412,5.0613,1980,1
08107,Routt,7.241,6.462,5.5693,24944,10
08109,Saguache,7.3316,5.318,4.5826,6454,2
08111,San Juan,8.7281,4.6009,4.3634,690,1
08113,San Miguel,6.9115,5.3838,5.5283,8082,4
08115,Sedgwick,2.789,5.1793,4.3897,2391,1
08117,Summit,8.8127,5.7017,5.6284,30955,12
08119,Teller,7.2467,6.1623,5.3146,24758,8
08121,Washington,2.6612,5.9299,4.4855,4817,2
08123,Weld,2.3672,7.5602,5.4933,329471,82
08125,Yuma,2.5412,5.1762,4.4878,9938,2
16007,Bear Lake,0.86,5.7046,4.6324,3568,1
16019,Bonneville,6.9932,6.4626,5.46,6334,1
16023,Butte,6.8527,5.0377,4.6613,2605,1
16037,Custer,7.6933,4.5198,4.4967,4344,1
16043,Fremont,9.4074,4.4955,5.469,1248,1
16059,Lemhi,7.2024,4.3575,4.9869,5334,2
30001,Beaverhead,6.6358,4.7838,5.0709,9469,3
30003,Big Horn,3.2792,3.9981,3.9694,13090,5
30007,Broadwater,6.395,5.9574,5.0267,6977,2
30009,Carbon,3.946,5.2282,4.9459,10645,5
30011,Carter,3.428,4.7402,4.1596,1332,1
30013,Cascade,3.7672,5.6075,4.6463,5763,2
30017,Custer,3.0201,4.7614,4.5717,11957,6
30021,Dawson,3.0494,5.4718,4.816,8915,3
30023,Deer Lodge,6.8844,5.019,4.1791,9435,3
30025,Fallon,3.2895,4.987,5.0026,2941,1
30027,Fergus,3.0297,5.5369,4.4465,11496,3
30031,Gallatin,6.4119,5.8163,5.67,119685,26
30033,Garfield,4.2518,5.3381,4.3431,976,1
30037,Golden Valley,3.4688,5.6972,4.5389,841,1
30039,Granite,7.8833,4.4232,4.9659,3368,2
30043,Jefferson,6.5463,6.1667,5.2085,12273,3
30045,Judith Basin,3.6855,5.3924,4.541,2039,1
30049,Lewis and Clark,6.2886,6.4102,5.1036,67026,15
30055,McCone,3.6093,5.3087,4.4134,1746,1
30057,Madison,7.533,4.862,5.2146,8742,4
30059,Meagher,4.1021,5.4314,4.6246,1948,1
30063,Missoula,6.3541,5.6337,5.3852,109741,26
30065,Musselshell,3.2944,5.1799,4.8431,4924,2
30067,Park,4.3844,5.6633,4.8538,17320,5
30069,Petroleum,3.8708,5.4944,5.0471,416,1
30075,Powder River,3.5345,5.2759,4.5043,1773,1
30077,Powell,6.7732,5.5987,4.3065,6998,2
30079,Prairie,3.4917,4.4064,4.619,1283,1
30081,Ravalli,6.3522,5.7189,5.0724,30105,7
30087,Rosebud,3.2492,4.9333,4.1425,8310,4
30093,Silver Bow,6.5536,5.48,4.4993,35306,9
30095,Stillwater,3.1529,5.7829,5.3972,8978,3
30097,Sweet Grass,3.3877,5.8603,4.9233,3697,1
30103,Treasure,3.5526,4.9203,4.5208,680,1
30107,Wheatland,3.4973,5.9702,3.9318,2060,1
30109,Wibaux,3.3697,5.2638,4.2185,1119,1
30111,Yellowstone,2.7364,5.6429,5.2494,165524,36
31007,Banner,3.3969,5.2334,4.1791,670,1
31013,Box Butte,2.7,5.1776,4.6921,10778,3
31029,Chase,3.0355,5.5347,4.6954,3704,1
31033,Cheyenne,2.6655,5.7391,4.614,9489,3
31045,Dawes,2.7272,5.7632,4.405,8279,2
31049,Deuel,2.936,5.3018,4.2318,1858,1
31057,Dundy,3.0319,5.4109,4.196,1825,1
31101,Keith,3.1571,5.806,4.7121,8303,3
31105,Kimball,2.8714,6.0006,4.0864,3395,1
31123,Morrill,3.0071,4.8722,4.3775,4562,1
31135,Perkins,2.8219,6.3331,4.4006,2860,1
31157,Scotts Bluff,2.5413,5.5839,4.5809,36048,11
31165,Sioux,3.5593,4.7946,4.0191,1162,1
46007,Bennett,3.2284,5.1082,3.2802,3391,2
46019,Butte,2.9823,5.696,4.7481,10369,3
46031,Corson,3.3305,3.1223,3.5437,3906,2
46033,Custer,6.9341,6.0547,4.9595,8515,2
46041,Dewey,3.04,4.2347,3.4355,5275,2
46047,Fall River,5.4063,5.7282,4.1584,7079,2
46055,Haakon,3.3784,5.2381,4.0026,1755,1
46063,Harding,3.5591,5.0372,4.8741,1176,1
46071,Jackson,3.4944,4.3449,3.0585,2838,2
46075,Jones,3.4882,5.5835,4.5702,1006,1
46081,Lawrence,6.684,5.9456,5.1278,26047,8
46093,Meade,4.7261,6.3682,5.1056,29970,7
46095,Mellette,3.2442,4.0229,2.7583,1989,1
46102,Oglala Lakota,3.2513,4.5664,2.5881,13695,3
46103,Pennington,4.2743,6.4465,5.0493,110386,25
46105,Perkins,3.603,4.7612,4.3212,2970,1
46117,Stanley,3.1165,6.3885,5.0645,2979,1
46121,Todd,3.1222,3.7507,3.1145,9353,2
46137,Ziebach,3.4266,2.8296,3.1268,2455,1
49007,Carbon,0.8324,5.7272,4.6906,20338,5
49013,Duchesne,1.0,5.6201,4.9157,19779,4
49015,Emery,0.8187,6.7932,5.0255,9898,3
49017,Garfield,1.4439,4.8907,4.4912,2728,1
49019,Grand,0.855,5.4918,4.893,9680,3
49025,Kane,1.4048,5.1685,5.1322,7814,2
49033,Rich,2.8848,4.9835,5.2561,2543,1
49037,San Juan,0.9615,4.3981,4.055,14524,4
49047,Uintah,0.7806,6.1375,5.0276,31429,7
49055,Wayne,1.6717,5.5062,4.8423,2532,1
56001,Albany,0.4351,5.5025,5.2321,37525,11
56003,Big Horn,0.7743,5.0997,4.5724,11690,3
56005,Campbell,2.9393,6.9137,5.3141,46857,10
56007,Carbon,1.0685,5.6856,4.7838,14609,5
56009,Converse,3.0463,6.6118,4.91,13729,4
56011,Crook,7.0313,5.7124,5.2208,7258,2
56013,Fremont,0.5747,4.9565,4.3292,39402,12
56015,Goshen,2.7282,5.9113,4.5417,12592,4
56017,Hot Springs,0.6733,5.2959,4.439,4616,2
56019,Johnson,2.9918,5.9434,4.8004,8536,3
56021,Laramie,2.4661,6.3755,5.0348,100316,26
56023,Lincoln,5.1482,6.0686,5.0945,19794,5
56025,Natrona,2.9456,6.5952,4.9419,79506,20
56027,Niobrara,3.2505,5.1232,4.0458,2460,1
56029,Park,1.0663,6.031,4.9802,29878,7
56031,Platte,2.912,6.6956,4.1585,8618,3
56033,Sheridan,4.0743,5.8441,4.9018,31176,7
56035,Sublette,3.0293,5.2706,5.1257,8801,3
56037,Sweetwater,0.5214,6.5858,5.0511,42079,13
56039,Teton,7.0569,5.9218,5.4041,23346,7
56041,Uinta,0.5271,6.0472,4.9924,20546,6
56043,Washakie,0.4368,5.4705,4.5902,7725,3
56045,Weston,3.3725,5.5376,4.6237,6870,2
