allotment_id,agency,allotment_name,county_geoid,county_name,authorized_aum,authorized_use_acres,source_url,vintage,status,manual_fetch_id
00502,USFS,EAST FORK SMITHS FORK,56041,Uinta,,16445.043,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00516,USFS,WALKER (VACANT),56041,Uinta,,167.429,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,VACANT,usfs_grazing
00515,USFS,GILBERT CREEK,56041,Uinta,,14013.415,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00371,USFS,WALLROCK-HIDDEN TEPEE,56033,Sheridan,,8878.337,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00452,USFS,SHELL BASIN,56003,Big Horn,,21073.222,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00619,USFS,LOWER DRY FORK,56033,Sheridan,,14635.933,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00115,USFS,LOST CANYON,56011,Crook,,7553.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00104,USFS,GROMMUND SOURDOUGH,56019,Johnson,,19387.195,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00658,USFS,OWEN CREEK,56033,Sheridan,,4651.066,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00353,USFS,BEAR/CRYSTAL CREEK,56003,Big Horn,,7311.563,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00107,USFS,ROCK CREEK,56019,Johnson,,28729.202,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00301,USFS,DEVILS CANYON,56003,Big Horn,,35171.317,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00621,USFS,NICKLEMINE,56033,Sheridan,,6597.171,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00118,USFS,LYTLE CREEK,56011,Crook,,3107.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00107,USFS,BLACKTAIL,56011,Crook,,10240.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00120,USFS,PHEASANT DRAW,56011,Crook,,393.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00412,USFS,LOWER BEAVER,56045,Weston,,33041.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00304,USFS,MEDICINE MOUNTAIN,56003,Big Horn,,26349.123,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00372,USFS,WHALEY CREEK,56003,Big Horn,,6474.59,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00620,USFS,WEST LOWER TONGUE,56033,Sheridan,,6793.91,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00105,USFS,REDWATER,56011,Crook,,9319.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00117,USFS,DIVIDE,56011,Crook,,3374.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00614,USFS,EAST LOWER TONGUE,56033,Sheridan,,4790.637,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00653,USFS,BULL/WOODROCK,56033,Sheridan,,16398.078,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00106,USFS,TOGUS,56011,Crook,,5522.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00119,USFS,WARREN PEAK,56011,Crook,,8059.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00109,USFS,OAK CREEK,56011,Crook,,5759.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
00126,USFS,COLE,56011,Crook,,357.0,https://data.fs.usda.gov/geodata/edw/edw_resources/shp/S_USA.Allotment.zip,2026-07-19,ACTIVE,usfs_grazing
