source_record_id,plant_name,state,county,difference,capacity_mw_existing,capacity_mw_staged,status_existing,status_staged
10262:GEN6,California Institute of Technology,CA,Los Angeles,staged_only,,10.5,,OP
10262:GEN7,California Institute of Technology,CA,Los Angeles,staged_only,,2.5,,OP
10417:TG,Indian Orchard Plant 1,MA,Hampden,staged_only,,5.7,,OP
1187:7,State Center,IA,Marshall,staged_only,,0.8,,OP
160:GT5,Apache Station,AZ,Cochise,capacity_or_status_changed,41.4,60.5,OP,OP
160:GT6,Apache Station,AZ,Cochise,capacity_or_status_changed,41.4,60.5,OP,OP
182:1,Beaver Dam (AR),AR,Carroll,existing_only,56.0,,OP,
182:2,Beaver Dam (AR),AR,Carroll,staged_only,,56.0,,OP
198:1,Bull Shoals,AR,Marion,existing_only,40.0,,OP,
198:5,Bull Shoals,AR,Marion,existing_only,45.0,,OP,
1998:2,Mountain Lake,MN,Cottonwood,existing_only,1.1,,OP,
201:3,Thomas Fitzhugh,AR,Franklin,staged_only,,71.2,,OP
2248:1A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:2A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:3A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2248:4A,Kimball,NE,Kimball,staged_only,,2.0,,OP
2693:2,Robert Moses Niagara,NY,Niagara,staged_only,,193.5,,OP
2693:6,Robert Moses Niagara,NY,Niagara,staged_only,,193.5,,OP
286:U11,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,110.0,118.8,OP,OP
286:U12,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,110.0,118.8,OP,OP
286:U13,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,138.0,139.8,OP,OP
286:U14,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,113.0,124.2,OP,OP
286:U16,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U17,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U18,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U20,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,118.0,124.2,OP,OP
286:U5,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U6,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U7,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
286:U8,Geysers Unit 5-20,CA,Sonoma,capacity_or_status_changed,55.0,59.4,OP,OP
3006:GEN1,Anadarko Plant,OK,Caddo,staged_only,,45.0,,OP
3006:GEN2,Anadarko Plant,OK,Caddo,staged_only,,45.0,,OP
322:1,Big Creek 2A,CA,Fresno,staged_only,,55.0,,OP
332:1,Fontana,CA,San Bernardino,existing_only,1.5,,OP,
332:2,Fontana,CA,San Bernardino,existing_only,1.5,,OP,
3612:1,V H Braunig,TX,Bexar,existing_only,225.0,,OP,
3612:2,V H Braunig,TX,Bexar,existing_only,252.0,,OP,
3612:3,V H Braunig,TX,Bexar,existing_only,417.0,,OP,
3883:C-10,Rocky Reach,WA,Chelan,staged_only,,137.8,,OP
3883:C-11,Rocky Reach,WA,Chelan,staged_only,,137.8,,OP
