source_record_id,registry_facility_id,match_method,match_confidence,capacity_mw_source,capacity_mw_registry,capacity_delta_pct
eia_plant_467,eia860_467_08019,eia_plant_code,exact_id,300.0,300.0,0.0
eia_plant_469,eia860_469_08001,eia_plant_code,exact_id,1006.4000000000001,1006.4,1.1296386896027029e-14
eia_plant_471,eia860_471_08077,eia_plant_code,exact_id,26.6,26.6,0.0
eia_plant_474,eia860_474_08015,eia_plant_code,exact_id,0.6,0.6,0.0
eia_plant_476,eia860_476_08045,eia_plant_code,exact_id,14.4,14.4,0.0
eia_plant_505,eia860_505_56013,eia_plant_code,exact_id,15.0,15.0,0.0
eia_plant_512,eia860_512_08051,eia_plant_code,exact_id,86.4,86.4,0.0
eia_plant_514,eia860_514_08085,eia_plant_code,exact_id,173.2,173.2,0.0
eia_plant_516,eia860_516_08117,eia_plant_code,exact_id,26.0,26.0,0.0
eia_plant_525,eia860_525_08107,eia_plant_code,exact_id,465.4,465.4,0.0
eia_plant_785,eia860_785_31101,eia_plant_code,exact_id,50.0,50.0,0.0
eia_plant_850,eia860_850_16019,eia_plant_code,exact_id,176.4,176.4,0.0
eia_plant_2176,eia860_2176_30021,eia_plant_code,exact_id,83.7,83.7,0.0
eia_plant_2177,eia860_2177_30017,eia_plant_code,exact_id,23.3,23.3,0.0
eia_plant_2191,eia860_2191_30013,eia_plant_code,exact_id,63.0,63.0,0.0
eia_plant_2192,eia860_2192_30095,eia_plant_code,exact_id,12.0,12.0,0.0
eia_plant_2204,eia860_2204_30003,eia_plant_code,exact_id,278.20000000000005,278.2,2.0432573278507552e-14
eia_plant_2230,eia860_2230_31049,eia_plant_code,exact_id,1.1,1.1,0.0
eia_plant_3325,eia860_3325_46103,eia_plant_code,exact_id,110.0,110.0,0.0
eia_plant_3699,eia860_3699_49017,eia_plant_code,exact_id,4.199999999999999,4.2,-2.114710523095536e-14
eia_plant_3704,eia860_3704_49013,eia_plant_code,exact_id,1.2,1.2,0.0
eia_plant_4158,eia860_4158_56009,duplicate_registry_alias,unmatched,816.7,816.7,0.0
eia_plant_4162,eia860_4162_56023,eia_plant_code,exact_id,707.1999999999999,707.2,-1.607562750588462e-14
eia_plant_4176,eia860_4176_56025,eia_plant_code,exact_id,66.8,66.8,0.0
eia_plant_6021,eia860_6021_08081,eia_plant_code,exact_id,1427.6,1427.6,0.0
eia_plant_6076,eia860_6076_30087,eia_plant_code,exact_id,1647.4,1647.4,0.0
eia_plant_6101,eia860_6101_56005,eia_plant_code,exact_id,362.1,362.1,0.0
